pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
1,,bse_cm,,SENSEX,SENSEX,,SENSEX,,,,,SENSEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Mandatory Market making period in this scrip is over, exit may be difficult,The scrip is not regularly traded, and exit may be difficult,High low price variation was greater than 100% in previous 6 months"
12,,bse_cm,,BANKEX,BANKEX,,BANKEX,,,,,BANKEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
47,,bse_cm,,SENSEX50,SENSEX50,,SENSEX50,,,,,SENSEX50,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199017,E,bse_cm,,IVZGOLDINAV,IVZGOLDINAV,,IVZGOLDINAV,INF205K01361,,,,INAV INVESCIndGolxchanger,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199076,B,bse_cm,,HBANKETINAV,HBANKETINAV,,HBANKETINAV,INF179KC1AN8,,,,INAV HDFC Banking ETF,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,22331,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199121,B,bse_cm,,HDFNX50INAV,HDFNX50INAV,,HDFNX50INAV,INF179KC1DA9,,,,INAV HDFC NIFTY Next 50 ETF,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199053,B,bse_cm,,ICICILOINAV,ICICILOINAV,,ICICILOINAV,INF109KB10T8,,,,INAV ICICI Prudentil Nifty,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199113,B,bse_cm,,QNIFTYINAV,QNIFTYINAV,,QNIFTYINAV,INF082J01028,,,,INAV QUANTUM INDX ETF,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199132,B,bse_cm,,HDFMOMEINAV,HDFMOMEINAV,,HDFMOMEINAV,INF179KC1DM4,,,,INAVHDFCMOMENT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199047,A,bse_cm,,SXETFINAV,SXETFINAV,,SXETFINAV,INF179KC1973,,,,INAV HDFC SENSEX ETF - OPEN,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,25036,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199068,F,bse_cm,,EBBET0INAV,EBBET0INAV,,EBBET0INAV,INF754K01KN4,,,,INAV BHARAT Bond ETF - Apri,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199072,F,bse_cm,,EBBETAINAV,EBBETAINAV,,EBBETAINAV,INF754K01LD3,,,,INAV BHARATBOND ETF APRI,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199023,E,bse_cm,,IDBIGDINAV,IDBIGDINAV,,IDBIGDINAV,INF397L01554,,,,INAVIDBI MUTUAL - IDBI GOLD E,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199133,B,bse_cm,,HDFCLOLINAV,HDFCLOLINAV,,HDFCLOLINAV,INF179KC1DN2,,,,INAVHDFCLOWVOL,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199134,B,bse_cm,,HDFCBANINAV,HDFCBANINAV,,HDFCBANINAV,INF179KC1DW3,,,,INAVHDFCPVTBAN,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199143,B,bse_cm,,HDFC02INAV,HDFC02INAV,,HDFC02INAV,INF179KC1FA4,,,,INAVHDFC Mutual Fund02,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,11595,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199115,B,bse_cm,,KOTAKBKINAV,KOTAKBKINAV,,KOTAKBKINAV,INF174K01F59,,,,INAV Kotak Banking ETF - Di,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
199162,B,bse_cm,,NAVIINAV,NAVIINAV,,NAVIINAV,INF959L01HI3,,,,INAVNavi Mutual Fund,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
507410,B,bse_cm,,WALCHANNAG,WALCHANNAG,,WALCHANNAG,INE711A01022,,,,WALCHANDNAGAR INDUSTRIES LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,2008-02-25,2008-02-29,2015-02-07,2015-02-13,,,,,,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,32770,21850,1,1,1,0,0,1,0,-1,0,0,0,"Stage 1 Long Term ASM scrip,EPS based on previous 4 trailing quarters in the scrip is zero"
507515,XT,bse_cm,,CJGEL,CJGEL,,CJGEL,INE557D01015,,,,C.J.GELATINE PRODUCTS LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-14,2024-09-21,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,2197,1989,1,1,1,0,0,1,0,-1,0,0,0,"Scrips in GSM,The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)"
507598,X,bse_cm,,KLRFM,KLRFM,,KLRFM,INE014E01015,,,,KOVILPATTI LAKSHMI ROLLER FLOU,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-03,2024-09-09,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,12070,8050,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
507779,B,bse_cm,,KANPRPLA,KANPRPLA,,KANPRPLA,INE694E01014,,,,KANPUR PLASTIPACK LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-14,2024-09-20,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,22750,15170,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
507808,P,bse_cm,,UNTTEMI,UNTTEMI,,UNTTEMI,INE357P01014,,,,UNITED LEASING & INDUSTRIES LT,,,1,50,-1,-1,2,-1,BSE,,,,,,2018-09-06,2018-09-24,2024-09-22,2024-09-28,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,50,0,3591,3249,1,1,1,0,0,1,0,-1,0,0,0,"Scrips in GSM,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)"
507828,X,bse_cm,,ANSALHSG,ANSALHSG,,ANSALHSG,INE880B01015,,,,ANSAL HOUSING LIMITED,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-19,2024-09-25,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,740,606,1,1,1,0,0,1,0,-1,0,0,0,"Stage 1 Long Term ASM scrip,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
507872,X,bse_cm,,ASHNOOR,ASHNOOR,,ASHNOOR,INE372I01018,,,,ASHNOOR TEXTILE MILLS LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,2006-10-13,2006-11-01,2022-09-22,2022-09-29,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,4704,3136,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
507910,B,bse_cm,,FIBERWEB,FIBERWEB,,FIBERWEB,INE296C01020,,,,FIBERWEB (INDIA) LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-20,2024-09-27,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,3211,2907,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
507952,XT,bse_cm,,SHIKHARLETR,SHIKHARLETR,,SHIKHARLETR,INE02BV01019,,,,SHIKHAR LEASING & TRADING LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,2018-09-07,2018-09-26,2024-09-18,2024-09-24,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,82,76,1,1,1,0,0,1,0,-1,0,0,0,"Scrips in GSM,Gross settlement (Trade for Trade)"
