pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1,XX,cde_fo,UNDCUR,USDINR,USDINR,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDCUR,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,4.623e+08,3.78225e+08,1,1,1,0,0,1,0,1e+12,1,0,999
10003,XX,cde_fo,OPTCUR,USDINR,USDINR2673195CE,CE,USDINR2673195CE,,1,,,,,,25000,1,1469975400,1000,4,9.5e+08,CDS,OPTCUR,1469975400,,1469948400,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469923200,1469975400,,,,,,315513000,0,1,0.00,1,0,8.575e+06,3.425e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
10035,XX,cde_fo,OPTCUR,GBPINR,GBPINR26DEC119.25PE,PE,GBPINR26DEC119.25PE,,26,,,,,,25000,1,1483021800,1000,4,1.1925e+09,CDS,OPTCUR,1483021800,,1482994800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1482969600,1483021800,,,,,,315513000,0,1,0.00,1,0,1.02e+07,5.65e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
10048,XX,cde_fo,OPTCUR,USDINR,USDINR26JUL97PE,PE,USDINR26JUL97PE,,1,,,,,,25000,1,1469802600,1000,4,9.7e+08,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,2.9625e+07,1.8325e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
1005,XX,cde_fo,FUTCUR,EURINR,EURINR27APRFUT,XX,EURINR27APRFUT,,25,,,,,,25000,1,1493389800,1000,4,-1,CDS,FUTCUR,1493389800,,1493362800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,1.16092e+09,1.05038e+09,1,1,1,0,0,1,0,1e+12,1,0,10000
10068,XX,cde_fo,OPTCUR,USDINR,USDINR2682890CE,CE,USDINR2682890CE,,1,,,,,,25000,1,1472394600,1000,4,9e+08,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,1,1,0.00,1,0,5.4075e+07,4.1975e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
10075,XX,cde_fo,OPTCUR,USDINR,USDINR2673196.25PE,PE,USDINR2673196.25PE,,1,,,,,,25000,1,1469975400,1000,4,9.625e+08,CDS,OPTCUR,1469975400,,1469948400,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469923200,1469975400,,,,,,315513000,0,1,0.00,1,0,2.2625e+07,1.2525e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11485,XX,cde_fo,OPTCUR,USDJPY,USDJPY26SEP168.5PE,PE,USDJPY26SEP168.5PE,,43,,,,,,100000,1,1475073000,1000,4,1.685e+09,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,1,1,0.00,1,0,1.055e+08,7.43e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11487,XX,cde_fo,OPTCUR,USDJPY,USDJPY26SEP169PE,PE,USDJPY26SEP169PE,,43,,,,,,100000,1,1475073000,1000,4,1.69e+09,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,1,1,0.00,1,0,1.099e+08,7.81e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11499,XX,cde_fo,OPTCUR,EURUSD,EURUSD26SEP1.025PE,PE,EURUSD26SEP1.025PE,,41,,,,,,1000,1,1475073000,1000,4,1.025e+07,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,1,1,0.00,1,0,4000,1000,1,1,1,0,0,1,0,1e+12,1,0,10000
11158,XX,cde_fo,OPTCUR,JPYINR,JPYINR2672465.75CE,CE,JPYINR2672465.75CE,,27,,,,,,25000,1,1469370600,1000,4,6.575e+08,CDS,OPTCUR,1469370600,,1469343600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469318400,1469370600,,,,,,315513000,1,1,0.00,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
11159,XX,cde_fo,OPTCUR,JPYINR,JPYINR2672465.75PE,PE,JPYINR2672465.75PE,,27,,,,,,25000,1,1469370600,1000,4,6.575e+08,CDS,OPTCUR,1469370600,,1469343600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469318400,1469370600,,,,,,315513000,1,1,0.00,1,0,7.8675e+07,6.4525e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
1116,XX,cde_fo,OPTCUR,EURINR,EURINR26JUL104PE,PE,EURINR26JUL104PE,,25,,,,,,25000,1,1469802600,1000,4,1.04e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,2.15e+06,400000,1,1,1,0,0,1,0,1e+12,1,0,10000
11162,XX,cde_fo,OPTCUR,JPYINR,JPYINR2672466.25CE,CE,JPYINR2672466.25CE,,27,,,,,,25000,1,1469370600,1000,4,6.625e+08,CDS,OPTCUR,1469370600,,1469343600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469318400,1469370600,,,,,,315513000,1,1,0.00,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
11165,XX,cde_fo,OPTCUR,JPYINR,JPYINR2672466.5PE,PE,JPYINR2672466.5PE,,27,,,,,,25000,1,1469370600,1000,4,6.65e+08,CDS,OPTCUR,1469370600,,1469343600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469318400,1469370600,,,,,,315513000,1,1,0.00,1,0,8.6075e+07,7.1925e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11201,XX,cde_fo,OPTCUR,JPYINR,JPYINR26SEP66.5PE,PE,JPYINR26SEP66.5PE,,27,,,,,,25000,1,1475073000,1000,4,6.65e+08,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,1,1,0.00,1,0,8.0025e+07,6.6175e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11224,XX,cde_fo,OPTCUR,JPYINR,JPYINR27MAR65.5CE,CE,JPYINR27MAR65.5CE,,27,,,,,,25000,1,1490797800,1000,4,6.55e+08,CDS,OPTCUR,1490797800,,1490770800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1490745600,1490797800,,,,,,315513000,1,1,0.00,1,0,9.575e+06,6.225e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
