pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1136149,,bse_fo,SO,MANKIND,MANKIND26JUL2300PE,PE,MANKIND30JUL262300.00PE,,543904,,,MANKIND26JUL2300PE,,,5,250,1785436199,1,2,230000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,250,0,3000,5,1,1,1,0,0,1,0,-1,1,0,100000000
1136193,,bse_fo,IO,BANKEX,BANKEX26JUL56300PE,PE,BANKEX30JUL2656300.00PE,,12,,,BANKEX26JUL56300PE,,,5,30,1785436199,1,2,5.63e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,30,0,2005,5,1,1,1,0,0,1,0,-1,1,0,900
1136246,,bse_fo,SO,ASTRAL,ASTRAL26JUL1500PE,PE,ASTRAL30JUL261500.00PE,,532830,,,ASTRAL26JUL1500PE,,,5,425,1785436199,1,2,150000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,425,0,20415,4065,1,1,1,0,0,1,0,-1,1,0,14680
1136265,,bse_fo,IO,SENSEX,SENSEX26JUL73300PE,PE,SENSEX30JUL2673300.00PE,,1,,,SENSEX26JUL73300PE,,,5,20,1785436199,1,2,7.33e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,20,0,21740,5,1,1,1,0,0,1,0,-1,1,0,1000
1136314,,bse_fo,SO,LUPIN,LUPIN26JUL2160CE,CE,LUPIN30JUL262160.00CE,,500257,,,LUPIN26JUL2160CE,,,5,425,1785436199,1,2,216000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,425,0,46560,18520,1,1,1,0,0,1,0,-1,1,0,34000
1136319,,bse_fo,SO,LICHSGFIN,LICHSGFIN26JUL585PE,PE,LICHSGFIN30JUL26585.00PE,,500253,,,LICHSGFIN26JUL585PE,,,5,1000,1785436199,1,2,58500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1000,0,6205,885,1,1,1,0,0,1,0,-1,1,0,60000
1136330,,bse_fo,SO,HEROMOTOCO,HEROMOTOCO26JUL5400CE,CE,HEROMOTOCO30JUL265400.00CE,,500182,,,HEROMOTOCO26JUL5400CE,,,5,150,1785436199,1,2,540000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,5750,5,1,1,1,0,0,1,0,-1,1,0,9000
1136338,,bse_fo,SO,ICICIPRULI,ICICIPRULI26JUL515PE,PE,ICICIPRULI30JUL26515.00PE,,540133,,,ICICIPRULI26JUL515PE,,,5,925,1785436199,1,2,51500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,925,0,5465,935,1,1,1,0,0,1,0,-1,1,0,60000
1136342,,bse_fo,SO,ADANIENSOL,ADANIENSOL26JUL1420PE,PE,ADANIENSOL30JUL261420.00PE,,539254,,,ADANIENSOL26JUL1420PE,,,5,675,1785436199,1,2,142000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,675,0,5645,5,1,1,1,0,0,1,0,-1,1,0,100000000
1136344,,bse_fo,SO,COALINDIA,COALINDIA26JUL515PE,PE,COALINDIA30JUL26515.00PE,,533278,,,COALINDIA26JUL515PE,,,5,1350,1785436199,1,2,51500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1350,0,10075,4785,1,1,1,0,0,1,0,-1,1,0,126000
