pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
1007,SG,nse_cm,,679PN35,679PN35-SG,,679PN35-SG,IN2820200144,,,,SDL PN 6.79% 2035,,,1,100,-1,-1,2,-1,NSE,,,1289088000,,1289088000,0,0,0,0,0,95.00-105.00,0,0,1467564696,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
10269,SG,nse_cm,,791TS43,791TS43-SG,,791TS43-SG,IN4520220059,,,,SDL TS 7.91% 2043,,,1,100,-1,-1,2,-1,NSE,,,1341705600,,1341705600,0,0,0,0,0,95.00-105.00,0,0,1467564697,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
10325,SM,nse_cm,,SKP,SKP-SM,,SKP-SM,INE0KZA01016,,,,SKP BEARING INDUSTRI. LTD,,,5,500,-1,-1,2,-1,NSE,,,1342137600,,1342137600,0,0,0,0,1438819200,121.80-182.60,0,0,1467571076,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,542820.00,500,0,18260,12180,1,1,1,0,0,1,0,1.66e+07,0,0,542820,"Stage 1 Long Term ASM scrip,The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Mandatory Market making period in this scrip is over, exit may be difficult,The scrip is not regularly traded, and exit may be difficult"
10331,SG,nse_cm,,781HR32A,781HR32A-SG,,781HR32A-SG,IN1620220138,,,,SDL HR 7.81% 2032,,,1,100,-1,-1,2,-1,NSE,,,1342310400,,1342310400,0,0,0,0,0,96.33-106.45,0,0,1467564697,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,986200.00,100,0,10645,9633,1,1,1,0,0,1,0,1e+08,0,0,986200,
10313,BL,nse_cm,,AURUM,AURUM-BL,,AURUM-BL,INE898S01029,,,,AURUM PROPTECH LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1124409600,,1124409600,0,0,1411257600,1411776000,0,224.95-238.85,0,0,1467566642,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,438873.00,1,0,23885,22495,1,1,1,0,0,1,0,7.63524e+07,0,0,438873,
10338,SG,nse_cm,,787TN33,787TN33-SG,,787TN33-SG,IN3120220071,,,,SDL TN 7.87% 2033,,,1,100,-1,-1,2,-1,NSE,,,1342310400,,1342310400,0,0,0,0,0,98.42-108.78,0,0,1467564697,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,965200.00,100,0,10878,9842,1,1,1,0,0,1,0,2e+08,0,0,965200,
