pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
10306,XX,cde_fo,OPTCUR,USDINR,USDINR2682892.5CE,CE,USDINR2682892.5CE,,1,,,,,,25000,1,1472394600,1000,4,9.25e+08,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,0,1,0.00,1,0,3.535e+07,2.465e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
10307,XX,cde_fo,OPTCUR,USDINR,USDINR2682892.5PE,PE,USDINR2682892.5PE,,1,,,,,,25000,1,1472394600,1000,4,9.25e+08,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,0,1,0.00,1,0,2.45e+06,700000,1,1,1,0,0,1,0,1e+12,1,0,10000
10319,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL164.5CE,CE,USDJPY26JUL164.5CE,,43,,,,,,100000,1,1469802600,1000,4,1.645e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,1.83e+07,5.7e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
10320,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL164.5PE,PE,USDJPY26JUL164.5PE,,43,,,,,,100000,1,1469802600,1000,4,1.645e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,5.77e+07,2.97e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
10324,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL165.5CE,CE,USDJPY26JUL165.5CE,,43,,,,,,100000,1,1469802600,1000,4,1.655e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,1.46e+07,4.2e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
10328,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL166.5CE,CE,USDJPY26JUL166.5CE,,43,,,,,,100000,1,1469802600,1000,4,1.665e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,0,1,0.00,1,0,1.13e+07,2.9e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
10341,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL169.5PE,PE,USDJPY26JUL169.5PE,,43,,,,,,100000,1,1469802600,1000,4,1.695e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,1,1,0.00,1,0,1.03e+08,6.64e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
10347,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUL171PE,PE,USDJPY26JUL171PE,,43,,,,,,100000,1,1469802600,1000,4,1.71e+09,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,1,1,0.00,1,0,1.176e+08,7.94e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
10349,XX,cde_fo,OPTCUR,EURUSD,EURUSD26JUL1.05CE,CE,EURUSD26JUL1.05CE,,41,,,,,,1000,1,1469802600,1000,4,1.05e+07,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,1,1,0.00,1,0,1.003e+06,781000,1,1,1,0,0,1,0,1e+12,1,0,10000
10355,XX,cde_fo,OPTCUR,GBPUSD,GBPUSD26JUL1.23CE,CE,GBPUSD26JUL1.23CE,,42,,,,,,1000,1,1469802600,1000,4,1.23e+07,CDS,OPTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1469750400,1469802600,,,,,,315513000,1,1,0.00,1,0,1.028e+06,760000,1,1,1,0,0,1,0,1e+12,1,0,10000
