pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
10310,EQ,nse_cm,,AURUM,AURUM-EQ,,AURUM,INE898S01029,,,,AURUM PROPTECH LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1124409600,,1124409600,0,0,1411257600,1411776000,0,166.47-249.69,0,0,1466705727,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,480570.00,1,0,24969,16647,1,1,1,0,0,1,0,7.62447e+07,0,0,480570,EPS based on previous 4 trailing quarters in the scrip is zero
10313,BL,nse_cm,,AURUM,AURUM-BL,,AURUM-BL,INE898S01029,,,,AURUM PROPTECH LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1124409600,,1124409600,0,0,1411257600,1411776000,0,201.84-214.32,0,0,1466704796,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,480188.00,1,0,21432,20184,1,1,1,0,0,1,0,7.62447e+07,0,0,480188,
10319,BL,nse_cm,,PKTEA,PKTEA-BL,,PKTEA-BL,INE431F01018,,,,THE P K TEA PROD CO LTD,,,5,1,-1,-1,2,-1,NSE,,,1124409600,,1124409600,0,0,0,0,1442188800,766.30-813.70,0,0,1466704796,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,101235.00,1,0,81370,76630,1,1,1,0,0,1,0,3.09588e+06,0,0,101235,
10321,EQ,nse_cm,,PKTEA,PKTEA-EQ,,PKTEA,INE431F01018,,,,THE P K TEA PROD CO LTD,,,5,1,-1,-1,2,-1,NSE,,,1124409600,,1124409600,0,0,0,0,1442188800,632.00-948.00,0,0,1466705728,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,101235.00,1,0,94800,63200,1,1,1,0,0,1,0,3.09588e+06,0,0,101235,"EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
10330,SG,nse_cm,,778ML31,778ML31-SG,,778ML31-SG,IN2420220021,,,,SDL ML 7.78% 2031,,,1,100,-1,-1,2,-1,NSE,,,1342310400,,1342310400,0,0,0,0,0,95.00-105.00,0,0,1466701387,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,654000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+07,0,0,654000,
10346,EQ,nse_cm,,DGCONTENT,DGCONTENT-EQ,,DGCONTENT,INE03JI01017,,,,DIGICONTENT LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1245283200,,1245283200,0,0,0,0,0,20.96-31.44,0,0,1466705727,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,1902717.00,1,0,3144,2096,1,1,1,0,0,1,0,5.81871e+07,0,0,1902717,"The company has been loss making for at least the last 8 quarters for main board and last 2 years for SME companies on consolidated basis,The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
